Date,Region,Product,Quantity,UnitPrice,StoreLocation,CustomerType,Discount,Salesperson,TotalPrice,PaymentMethod,Promotion,Returned,OrderID,CustomerName,ShippingCost,OrderDate,DeliveryDate,RegionManager
2023-02-23,East,Laptop,14,163.6,Store B,Wholesale,0,Eva,2290.4,Online,FREESHIP,0,REG100000,Cust 6583,43.34,2023-02-23,2023-02-27,Eric
2024-12-19,South,Phone,1,544.01,Store A,Retail,0,Alice,544.01,Gift Card,SAVE10,0,REG100001,Cust 2144,5.3,2024-12-19,2024-12-28,Sophie
2023-05-10,North,Desk,14,346.18,Store B,Wholesale,0.1,Alice,4361.868,Online,WINTER15,0,REG100002,Cust 5998,20.46,2023-05-10,2023-05-19,Ryan
2025-02-26,Central,Chair,18,384.82,Store A,Wholesale,0.15,Frank,5887.746,Gift Card,FREESHIP,0,REG100003,Cust 7136,27.95,2025-02-26,2025-03-02,Cameron
2023-06-24,East,Desk,18,237.76,Store C,Retail,0,Carlos,4279.68,Online,SAVE10,0,REG100004,Cust 6506,5.73,2023-06-24,2023-06-27,Eric
2024-02-20,Central,Monitor,2,385.09,Store D,Wholesale,0.15,Diana,654.653,Credit Card,,0,REG100005,Cust 3909,11.92,2024-02-20,2024-03-01,Cameron
2023-01-11,South,Chair,7,17.5,Store C,Retail,0.1,Alice,110.25,Debit Card,WINTER15,0,REG100006,Cust 7887,5.02,2023-01-11,2023-01-14,Sophie
2023-01-09,Central,Chair,3,330.22,Store C,Wholesale,0.15,Carlos,842.061,Cash,,0,REG100007,Cust 5301,48.01,2023-01-09,2023-01-11,Cameron
2024-10-16,South,Chair,3,432.04,Store D,Wholesale,0.05,Bob,1231.314,Debit Card,FREESHIP,1,REG100008,Cust 2284,42.11,2024-10-16,2024-10-18,Sophie

